"Your changes have been saved.";"Your changes have been saved."

"Max file size limit exceeded (probably).";"Max file size limit exceeded (probably)."
"Invalid request method";"Invalid request method"
"No file";"No file"
"Invalid Upload";"Invalid Upload"
"An error occurred.";"An error occurred"

"Browse Listings";"Browse Listings"
"My Listings";"My Listings"
"Post a New Listing";"Post a New Listing"

"You have already created the maximum number of marketplace listings allowed.";"You have already created the maximum number of marketplace listings allowed."
"If you would like to create a new listing, please <a href="%1$s">delete</a> an old one first.";"If you would like to create a new listing, please <a href="%1$s">delete</a> an old one first."
"If you would like to create a new listing, please delete an old one first.";"If you would like to create a new listing, please delete an old one first."

"Everyone's Posts";"Everyone's Posts"
"Only My Friends' Posts";"Only My Friends' Posts"

"Next &#187;";"Next &#187;"
"&#171; Previous";"&#171; Previous"

"%s has not posted a marketplace listing yet.";"%s has not posted a marketplace listing yet."

"MARKETPLACES_VIEWS_SCRIPTS_ADMINMANAGE_INDEX_DESCRIPTION";"This page lists all of the marketplace listings your users have posted. You can use this page to monitor these marketplace listings and delete offensive material if necessary."
"There are no marketplace listings by your members yet.";"There are no marketplace listings by your members yet."

"Delete Marketplace Listing?";"Delete Marketplace Listing?"
"MARKETPLACE_VIEWS_SCRIPTS_ADMINMANAGE_DELETE_DESCRIPTION";"Are you sure that you want to delete this marketplace listing? It will not be recoverable after being deleted."
"Delete Marketplace Category?"
"MARKETPLACES_VIEWS_SCRIPTS_ADMINSETTINGS_DELETE_DESCRIPTION";"Are you sure that you want to delete this category? It will not be recoverable after being deleted."

"Marketplace Listing Categories";"Marketplace Listing Categories"
"MARKETPLACES_VIEWS_SCRIPTS_ADMINSETTINGS_CATEGORIES_DESCRIPTION";"If you want to allow your users to categorize their marketplace entries, create the categories below. This feature is useful if you want to list all your users' marketplace entries that If you have no categories, your users will not be given the option of assigning a marketplace category."
"There are currently no categories.";"There are currently no categories."
"Upload complete.";"Upload complete."
"An error occurred:";"An error occurred:"
"To enable the embedded uploader, install the latest Adobe Flash plugin.";"To enable the embedded uploader, install the latest Adobe Flash plugin."
"A required file was not found, please be patient and we'll fix this.";"A required file was not found, please be patient and we'll fix this."
"To enable the embedded uploader, enable the blocked Flash movie (see Flashblock).";"To enable the embedded uploader, enable the blocked Flash movie (see Flashblock)."
"To enable the embedded uploader, unblock it in your browser and refresh (see Adblock).";"To enable the embedded uploader, unblock it in your browser and refresh (see Adblock)."
"Marketplace Questions";"Marketplace Questions"
"View Marketplaces";"View Marketplace Items"

"MARKETPLACE_FORM_ADMIN_LEVEL_DESCRIPTION";"These settings are applied on a per member level basis. Start by selecting the member level you want to modify, then adjust the settings for that level below."
"Allow Viewing of Marketplaces?";"Allow Viewing of Marketplace?"
"Do you want to let members view marketplaces? If set to no, some other settings on this page may not apply.";"Do you want to let members view marketplace? If set to no, some other settings on this page may not apply."
"No, do not allow marketplaces to be viewed.";"No, do not allow marketplace to be viewed."
"Yes, allow viewing of marketplaces.";"Yes, allow viewing of marketplace."
"Yes, allow viewing of all marketplaces, even private ones.";"Yes, allow viewing of all marketplace, even private ones."

"Allow Editing of Marketplaces?";"Allow Editing of Marketplace?"
"Do you want to let members edit marketplaces? If set to no, some other settings on this page may not apply.";"Do you want to let members edit marketplace? If set to no, some other settings on this page may not apply."
"No, do not allow members to edit their marketplaces.";"No, do not allow members to edit their marketplace."
"Yes, allow members to edit their own marketplaces.";"Yes, allow members to edit their own marketplace."
"Yes, allow members to edit all marketplaces.";"Yes, allow members to edit all marketplace."

"Allow Deletion of Marketplaces?";"Allow Deletion of Marketplace Items?"
"Do you want to let members delete marketplaces? If set to no, some other settings on this page may not apply.";"Do you want to let members delete marketplace items? If set to no, some other settings on this page may not apply."
"No, do not allow members to delete their marketplaces.";"No, do not allow members to delete their marketplace items."
