"Yes, allow members to delete their own reviews.";"Yes, allow members to delete their own reviews."
"No, do not allow members to delete their reviews.";"No, do not allow members to delete their reviews."
"Yes, allow members to comment on all reviews, including private ones.";"Yes, allow members to comment on all reviews, including private ones."
"Yes, allow members to comment on reviews.";"Yes, allow members to comment on reviews."
"No, do not allow members to comment on reviews.";"No, do not allow members to comment on reviews."
"Yes, mark review as Featured when created.";"Yes, mark review as Featured when created."
"No, do not mark review as Featured when created.";"No, do not mark review as Featured when created."
"Do you want to let members view reviews? If set to no, some other settings on this page may not apply.";"Do you want to let members view reviews? If set to no, some other settings on this page may not apply."
"Allow Viewing of Reviews?";"Allow Viewing of Reviews?"
"Allow Creation of Reviews?";"Allow Creation of Reviews?"
"Do you want to let members edit reviews? If set to no, some other settings on this page may not apply.";"Do you want to let members edit reviews? If set to no, some other settings on this page may not apply."
"Allow Editing of Reviews?";"Allow Editing of Reviews?"
"Do you want to let members delete reviews? If set to no, some other settings on this page may not apply.";"Do you want to let members delete reviews? If set to no, some other settings on this page may not apply."
"Allow Deletion of Reviews?";"Allow Deletion of Reviews?"
"Do you want to let members of this level comment on reviews?";"Do you want to let members of this level comment on reviews?"
"Allow Commenting on Reviews?";"Allow Commenting on Reviews?"
"Would you like to mark review as Featured when created?";"Would you like to mark review as Featured when created?"
"Your members can choose from any of the options checked below when they decide who can see their reviews. If you do not check any options, everyone will be allowed to view reviews.";"Your members can choose from any of the options checked below when they decide who can see their reviews. If you do not check any options, everyone will be allowed to view reviews."
"Reviews View Privacy";"Reviews View Privacy"
"Review Comment Options";"Review Comment Options"

"Allow to Be Reviewed?";"Allow to Be Reviewed?"
"Would you like members to be reviewed by others? If set to no, others would not be able to write review for members belong to this level.";"Would you like members to be reviewed by others? If set to no, others would not be able to write review for members belong to this level."
"Yes, let others post reviews.";"Yes, let others post reviews."
"No, do not let others post reviews.";"No, do not let others post reviews."

# admin - review questions
